Deduped.author.names,Author.Keywords,Year
"Keim, D.A.",Trust Building,2015
"Keim, D.A.",Human Factors,2015
Jun Wang,Visual knowledge discovery,2015
Jun Wang,Causality,2015
Jun Wang,Hypothesis testing,2015
Jun Wang,Visual evidence,2015
Jun Wang,High-dimensional data,2015
"Mueller, K.",Visual knowledge discovery,2015
"Mueller, K.",Causality,2015
"Mueller, K.",Hypothesis testing,2015
"Mueller, K.",Visual evidence,2015
"Mueller, K.",High-dimensional data,2015
"Fulda, J.",System,2015
"Fulda, J.",timelines,2015
"Fulda, J.",authoring environment,2015
"Fulda, J.",time-oriented data,2015
"Fulda, J.",journalism,2015
"Brehmer, M.",System,2015
"Brehmer, M.",timelines,2015
"Brehmer, M.",authoring environment,2015
"Brehmer, M.",time-oriented data,2015
"Brehmer, M.",journalism,2015
"Munzner, T.",System,2015
"Munzner, T.",timelines,2015
"Munzner, T.",authoring environment,2015
"Munzner, T.",time-oriented data,2015
"Munzner, T.",journalism,2015
Xiaoke Huang,Graph based visual analytics,2015
Xiaoke Huang,Centrality,2015
Xiaoke Huang,Taxi trajectories,2015
Xiaoke Huang,Urban network,2015
Xiaoke Huang,Transportation assessment,2015
Ye Zhao,Graph based visual analytics,2015
Ye Zhao,Centrality,2015
Ye Zhao,Taxi trajectories,2015
Ye Zhao,Urban network,2015
Ye Zhao,Transportation assessment,2015
Jing Yang,Graph based visual analytics,2015
Jing Yang,Centrality,2015
Jing Yang,Taxi trajectories,2015
Jing Yang,Urban network,2015
Jing Yang,Transportation assessment,2015
Chong Zhang,Graph based visual analytics,2015
Chong Zhang,Centrality,2015
Chong Zhang,Taxi trajectories,2015
Chong Zhang,Urban network,2015
Chong Zhang,Transportation assessment,2015
Chao Ma,Graph based visual analytics,2015
Chao Ma,Centrality,2015
Chao Ma,Taxi trajectories,2015
Chao Ma,Urban network,2015
Chao Ma,Transportation assessment,2015
Xinyue Ye,Graph based visual analytics,2015
Xinyue Ye,Centrality,2015
Xinyue Ye,Taxi trajectories,2015
Xinyue Ye,Urban network,2015
Xinyue Ye,Transportation assessment,2015
